TRMC (台灣區預拌混凝土工業同業公會) 會員名錄 — 全 22 頁
共 421 筆
========================================================

15. 伸健盛企業股份有限公司太平廠 | 台中市太平區中興里永平路二段120號
16. 興威股份有限公司太平廠 | 台中市太平區光興路327號
17. 興泰預拌混凝土股份有限公司 | 台中市石岡區豐勢路1巷60號
18. 豐崗實業有限公司 | 台中市后里區堤防路2號
19. 甲東洋土股份有限公司 | 台中市西屯區大河里甘河路69號
20. 永䥶營造股份有限公司高雄廠 | 台中市西屯區台灣大道三段789號11樓之6

--- Page 8 (20 筆) ---
1. 合生混凝土興業股份有限公司 | 台中市西屯區安林路97之12號
2. 總茂環保股份有限公司 | 台中市西屯區廣福里中清路三段432號
3. 齊國砂石有限公司 | 台中市和平區東崎路一段22號
4. 富山預拌混凝土有限公司東勢廠 | 台中市東勢區茂興里東蘭路205-9號
5. 財本企業有限公司二廠 | 台中市東勢區新盛里東關路六段627號
6. 亞東預拌混凝土股份有限公司台中廠 | 台中市南屯區工業區35路38號
7. 廣達混凝土股份有限公司 | 台中市南屯區工業區二十路20號
8. 國產建材實業股份有限公司台中廠 | 台中市南屯區寶山里工業區21路1號
9. 興威股份有限公司台中廠 | 台中市南屯區寶山里工業區21路56號
10. 環球混凝土工業股份有限公司 | 台中市烏日區中山路一段665號
11. 長生預拌混凝土股份有限公司烏日廠 | 台中市烏日區健行路986號
12. 台崧混凝土有限公司分廠 | 台中市烏日區溪岸路50之2號
13. 億華砂石有限公司 | 414 台中市烏日區溪南路3段418巷210號
14. 夆孟企業有限公司 | 429 台中市神岡區圳前里崎溝路186號
15. 佳生砂石企業股份有限公司神岡廠 | 台中市神岡區神洲里神洲路506巷61號
16. 伸太田工業股份有限公司 | 台中市神岡區溪洲路202號
17. 民峰實業股份有限公司梧棲預拌混凝土廠 | 台中市梧棲區永安里臨港路二段210號
18. 野馬企業股份有限公司梧棲廠 | 台中市梧棲區港埠路1段31號
19. 昶佑企業有限公司梧棲廠 | 435 台中市梧棲區港埠路一段123號
20. 陸誠預拌混凝土有限公司 | 台中市清水區和睦路二段98巷8號

--- Page 9 (20 筆) ---
1. 陸成預拌混凝土有限公司二廠 | 台中市清水區海豐里和睦路二段98巷1號
2. 大信砂石股份有限公司 | 台中市清水區海豐里舊庄路288號
3. 亞東預拌混凝土股份有限公司潭子廠 | 台中市潭子區大愛路一段3號
4. 全富混凝土工業股份有限公司 | 台中市潭子區中山路一段309號
5. 昇佑企業有限公司二廠 | 台中市龍井區西濱路三段255號
6. 業信企業股份有限公司台中港廠 | 台中市龍井區忠和里工業路246巷5號
7. 金瑲水泥製品股份有限公司龍井廠 | 台中市龍井區龍津里蚵寮路255巷54弄20號
8. 野馬預拌混凝土有限公司 | 台中市龍井區臨港路一段 880巷18號
9. 勝曜實業有限公司 | 台中市豐原區三豐路二段579號
10. 良全預拌混凝土股份有限公司霧峰廠 | 台中市霧峰區五福里峰堤路739號
11. 震昌混凝土股份有限公司 | 彰化縣二水鄉裕民村南通路二段532號
12. 台崧混凝土有限公司大村廠 | 彰化縣大村鄉中山路二段一巷六號
13. 建彰混凝土股份有限公司大村廠 | 彰化縣大村鄉平和村山腳路160-1號
14. 泉溢預拌混凝土股份有限公司 | 彰化縣大城鄉上山村魚寮路56-2號
15. 駿侑企業有限公司 | 彰化縣永靖鄉東寧村東寧巷205號
16. 台崧混凝土有限公司 | 彰化縣伸港鄉莊敬路39號
17. 台鋼資源股份有限公司 | 彰化縣伸港鄉彰濱工業區彰濱西五路18號
18. 展用預拌混凝土股份有限公司 | 彰化縣芳宛鄉工區七路20號
19. 合作混凝土股份有限公司彰化廠 | 彰化縣芳苑鄉漢寶村新漢寶段880地號
20. 磊昇股份有限公司 | 彰化縣芬園鄉茄荖村碧興路256號

--- Page 10 (20 筆) ---
1. 福聯預拌混凝土有限公司 | 彰化縣埔鹽鄉永平村番金路100之48號
2. 埔塩預拌混凝土股份有限公司埔鹽廠 | 彰化縣埔鹽鄉埔港路63-4號
3. 冠益混凝土股份有限公司 | 彰化縣埤頭鄉崙子村彰水路四段32號
4. 有駿預拌混凝土股份有限公司 | 彰化縣埤頭鄉彰水路四段468巷10號
5. 久連預拌混凝土股份有限公司南彰廠 | 彰化縣埤頭鄉豐崙村彰水路四段80號
6. 福鹿預拌混凝土股份有限公司 | 彰化縣鹿港鎮東石里鹿工南二路22號
7. 久連預拌混凝土股份有限公司 | 彰化縣鹿港鎮埤頭巷57之16號
8. 裕山混凝土有限公司 | 彰化縣溪州鄉菜公村中央路一段387號
9. 彰濱實業有限公司 | 彰化縣溪州鄉過溪子段622-2.628-88之87地號
10. 幸峰混凝土有限公司彰化廠 | 彰化縣彰化市平和里平安街71 巷10 號
11. 恆欣預拌混凝土有限公司 | 彰化縣福興鄉秀厝村秀安二街27巷15號
